Temperature,RH,Ws,Rain,DMC,DC,ISI,FFMC_Box,month,Classes
35,64.0,18.0,0.2,9.7,40.4,2.8,11066053.735925805,3,0
33,68.0,19.0,0.0,12.5,49.8,6.0,14523774.690833947,3,1
32,68.0,14.0,1.4,7.7,9.2,1.1,5297062.824427786,3,0
33,69.0,13.0,0.7,6.0,9.3,1.1,5297062.824427786,3,0
33,76.0,14.0,0.0,8.1,18.7,2.6,11690351.86404936,3,0
31,75.0,13.0,0.1,7.9,27.7,1.5,8583753.910936423,3,0
34,81.0,15.0,0.0,9.7,37.2,3.0,12101172.440877607,3,0
34,61.0,13.0,0.6,7.8,22.9,1.4,8045701.9089948675,3,0
30,80.0,19.0,0.4,5.2,17.0,1.1,3648687.6835655626,3,0
28,76.0,21.0,0.0,7.0,25.5,0.7,7491830.949458685,3,0
29,70.0,14.0,0.0,9.4,34.1,3.2,12706754.730055928,3,1
31,68.0,14.0,0.0,12.1,43.1,4.6,14387881.61865395,3,1
35,59.0,17.0,0.0,12.0,52.8,7.7,16305074.17232919,3,1
33,65.0,15.0,0.1,12.3,62.1,2.8,11865113.282084063,3,1
33,70.0,17.0,0.0,18.5,71.5,5.2,14387881.61865395,3,1
28,79.0,18.0,0.1,16.4,79.9,1.8,7829158.303975799,3,0
27,66.0,22.0,0.4,10.5,71.3,1.8,5827325.235751968,3,0
28,78.0,16.0,0.1,9.6,79.7,1.4,6470477.180428262,3,0
31,65.0,18.0,0.0,12.5,88.7,4.8,13657461.184318636,3,1
36,53.0,19.0,0.0,17.1,98.6,10.0,17138773.07001242,3,1
36,48.0,13.0,0.0,22.2,108.5,8.7,18004092.603109196,3,1
33,76.0,15.0,0.0,24.4,117.8,5.6,15147262.330457106,3,1
32,73.0,15.0,0.0,26.7,127.0,5.6,15217759.105685541,3,1
31,79.0,15.0,0.0,28.5,136.0,4.7,14387881.61865395,3,1
35,64.0,17.0,0.0,31.9,145.7,6.8,15645929.492692964,3,1
36,45.0,14.0,0.0,4.8,10.2,2.0,10413925.727978325,4,0
35,55.0,12.0,0.4,5.8,10.0,1.7,9995506.884189926,4,0
35,63.0,14.0,0.3,5.7,10.0,1.7,9293810.778327523,4,0
34,69.0,13.0,0.0,8.2,19.8,4.0,14118962.96825621,4,1
34,65.0,13.0,0.0,11.1,29.7,5.2,15359491.746769212,4,1
32,75.0,14.0,0.0,13.0,39.1,5.2,15077011.15384501,4,1
32,69.0,16.0,0.0,15.5,48.6,5.5,15147262.330457106,4,1
32,60.0,18.0,0.3,11.3,47.0,2.2,9540020.424731897,4,0
35,59.0,17.0,0.0,14.8,57.0,6.9,15790643.822552253,4,1
35,55.0,14.0,0.0,18.6,67.0,7.4,16908297.803778704,4,1
35,63.0,13.0,0.0,21.7,77.0,7.1,16908297.803778704,4,1
35,51.0,13.0,0.3,15.6,75.1,2.5,11806642.950125637,4,0
35,63.0,15.0,0.0,19.0,85.1,5.9,15502213.673402239,4,1
33,66.0,14.0,0.0,21.7,94.7,5.7,15502213.673402239,4,1
36,55.0,13.0,0.3,15.6,92.5,3.7,12461854.178627312,4,1
36,61.0,18.0,0.3,11.7,90.4,2.8,11177653.867021846,4,1
37,52.0,18.0,0.0,16.0,100.7,9.7,17216120.012492895,4,1
36,54.0,18.0,0.0,20.0,110.9,9.7,17293728.8675424,4,1
35,62.0,19.0,0.0,23.2,120.9,9.7,17293728.8675424,4,1
35,68.0,19.0,0.0,25.9,130.6,8.8,16454339.236060109,4,1
36,58.0,19.0,0.0,29.6,141.1,9.2,16680158.48789192,4,1
36,55.0,18.0,0.0,33.5,151.3,9.9,17061687.4483426,4,1
36,53.0,16.0,0.0,37.6,161.5,10.4,17371600.227594804,4,1
34,64.0,14.0,0.0,40.5,171.3,9.0,16908297.803778704,4,1
35,60.0,15.0,0.0,43.9,181.3,8.2,16908297.803778704,4,1
31,78.0,18.0,0.0,45.6,190.6,4.7,14660629.632740127,4,1
33,82.0,21.0,0.0,47.0,200.2,4.4,14052327.406837465,4,1
34,64.0,16.0,0.0,50.2,210.4,7.3,17293728.8675424,4,1
35,48.0,18.0,0.0,54.2,220.4,12.5,17844374.25438411,4,1
35,70.0,17.0,0.8,25.2,180.4,1.7,7533388.278845627,4,0
28,80.0,21.0,16.8,8.7,8.7,0.6,2036272.4232868631,4,0
25,76.0,17.0,7.2,1.3,7.5,0.2,1197160.476648928,1,0
22,86.0,15.0,10.1,0.7,7.0,0.0,229598.93446230705,1,0
25,78.0,15.0,3.8,1.2,7.5,0.1,879292.4994231653,1,0
29,73.0,17.0,0.1,1.9,15.7,1.4,5896306.353546793,1,0
29,75.0,16.0,0.0,3.4,24.0,2.8,11517531.12314968,1,1
29,74.0,19.0,0.1,3.6,32.2,2.1,8909841.408012794,1,0
31,71.0,17.0,0.3,3.2,30.1,1.5,6323163.129583231,1,0
30,73.0,17.0,0.9,2.6,8.4,1.1,3973026.416332858,1,0
30,77.0,15.0,1.0,2.1,8.4,0.7,2658219.5420431034,1,0
33,73.0,12.0,1.8,2.2,8.9,0.7,3459242.8187102643,1,0
30,77.0,21.0,1.8,1.9,8.4,1.1,3145606.584892656,1,0
29,88.0,13.0,0.0,2.6,16.6,1.2,6850041.329001547,1,0
25,86.0,21.0,4.6,1.3,7.5,0.1,746545.2928237191,1,0
22,76.0,26.0,8.3,1.1,7.0,0.4,1350451.0655670706,1,0
24,82.0,15.0,0.4,0.9,7.3,0.2,1086198.1747538026,1,0
30,65.0,14.0,0.0,3.2,15.7,1.9,10047106.207049944,1,0
31,52.0,14.0,0.0,6.4,24.3,6.2,16009597.652922899,1,1
32,49.0,11.0,0.0,9.8,33.1,6.8,17293728.8675424,1,1
29,57.0,14.0,0.0,12.5,41.3,7.8,17216120.012492895,1,1
28,84.0,18.0,0.0,13.5,49.3,4.5,13334822.838523408,1,1
31,55.0,11.0,0.0,16.5,57.9,5.4,16083086.53963544,1,1
31,50.0,19.0,0.6,10.6,41.4,2.4,9892905.66745556,1,0
32,54.0,11.0,0.5,7.9,30.4,1.2,7958551.686324747,1,0
29,65.0,19.0,0.6,5.5,15.2,1.5,5861739.572854416,1,0
26,81.0,21.0,5.8,3.0,7.7,0.4,1493187.6984638423,1,0
31,54.0,11.0,0.0,6.0,16.3,2.5,12220516.282986473,1,0
31,66.0,11.0,0.0,8.3,24.9,4.0,14592081.64443045,1,1
32,47.0,14.0,0.7,7.1,8.8,1.8,9740489.692069003,1,0
26,80.0,16.0,1.8,2.9,7.7,0.3,1350451.0655670706,1,0
25,78.0,14.0,1.4,1.9,7.5,0.2,1095952.9207219458,1,0
32,71.0,12.0,0.7,2.5,8.2,0.6,2853828.595781393,2,0
30,73.0,13.0,4.0,2.7,7.8,0.6,2582865.7975930204,2,0
29,80.0,14.0,2.0,2.2,7.6,0.3,1505573.3892611093,2,0
30,64.0,14.0,0.0,5.2,15.4,2.2,10736270.843971636,2,0
32,60.0,14.0,0.2,6.0,17.6,1.8,9540020.424731897,2,0
35,54.0,11.0,0.1,8.4,26.3,3.1,13270988.498277288,2,1
35,44.0,17.0,0.2,9.9,28.9,5.4,14523774.690833947,2,1
28,51.0,17.0,1.3,7.7,7.4,1.5,7006456.7799555175,2,0
27,59.0,18.0,0.1,8.5,14.7,2.4,10047106.207049944,2,0
30,41.0,15.0,0.0,13.3,22.5,8.4,17293728.8675424,2,1
31,42.0,21.0,0.0,18.2,30.5,13.4,18245680.630664114,2,1
27,58.0,17.0,0.0,21.3,37.8,8.7,16908297.803778704,2,1
30,52.0,15.0,2.0,11.4,7.8,1.4,7368191.687090983,2,0
27,79.0,16.0,0.7,6.4,7.3,0.5,2180229.830804215,2,0
28,90.0,15.0,0.0,7.2,14.7,1.2,5361280.177516778,2,0
29,87.0,15.0,0.4,4.2,8.0,0.2,1350451.0655670706,2,0
31,69.0,17.0,4.7,3.9,8.0,1.1,4024783.1967930784,2,0
33,62.0,10.0,8.7,4.6,8.3,0.9,4954132.565358268,2,0
32,67.0,14.0,4.5,4.4,8.2,1.0,4686187.839523876,2,0
31,72.0,14.0,0.2,3.8,8.0,0.8,3529396.533819025,2,0
32,55.0,14.0,0.0,8.3,18.4,5.0,14937243.30574285,2,1
33,46.0,14.0,1.1,8.1,8.3,1.9,10150904.862743052,2,0
33,59.0,16.0,0.8,7.0,8.3,1.6,8177768.946188188,2,0
35,68.0,16.0,0.0,10.0,17.0,4.9,14320294.367194545,2,1
34,70.0,16.0,0.0,12.8,25.6,5.4,14798450.986675499,2,1
36,62.0,16.0,0.0,16.5,34.5,7.0,16083086.53963544,2,1
36,55.0,15.0,0.0,20.9,43.3,8.0,17061687.4483426,2,1
37,37.0,13.0,0.0,27.2,52.4,11.7,19832771.972537585,2,1
37,36.0,13.0,0.6,17.9,36.7,4.8,14937243.30574285,2,1
34,42.0,15.0,1.7,12.0,8.5,2.2,10900225.469646193,2,0
28,58.0,18.0,2.2,3.2,8.5,1.2,4429278.258153301,3,0
33,48.0,16.0,0.0,7.9,17.8,6.8,15936361.291694002,3,1
34,56.0,17.0,0.1,9.7,27.3,4.7,13919765.263972586,3,1
34,58.0,18.0,0.0,13.6,36.8,8.0,16230824.216697918,3,1
34,45.0,18.0,0.0,18.7,46.4,11.3,18164882.421738885,3,1
35,42.0,15.0,0.3,15.5,45.1,4.3,13919765.263972586,3,1
38,43.0,13.0,0.5,13.0,35.4,4.1,14118962.96825621,3,1
35,47.0,18.0,6.0,9.8,9.7,3.1,11517531.12314968,3,1
36,43.0,15.0,1.9,9.4,9.9,3.2,12401187.069120726,3,1
34,51.0,16.0,3.8,8.0,9.5,2.0,9740489.692069003,3,0
34,56.0,15.0,2.9,7.1,9.5,1.6,8446781.65536773,3,0
36,44.0,13.0,0.0,12.6,19.4,8.3,17844374.25438411,3,1
39,45.0,13.0,0.6,11.3,10.4,4.2,14252945.884696422,3,1
37,37.0,18.0,0.2,12.9,14.6,9.0,16908297.803778704,3,1
34,45.0,17.0,0.0,18.0,24.1,10.9,18164882.421738885,3,1
31,83.0,17.0,0.0,19.4,33.1,4.7,13788144.684103992,3,1
32,81.0,17.0,0.0,21.1,42.3,4.7,13853837.559098927,3,1
33,68.0,15.0,0.0,23.9,51.6,5.2,14867725.490576845,3,1
34,58.0,16.0,0.0,27.8,61.1,7.3,16305074.17232919,3,1
36,50.0,16.0,0.0,32.7,71.0,9.5,17685722.5901547,3,1
36,29.0,18.0,0.0,39.6,80.6,18.5,21066933.676862977,3,1
32,48.0,18.0,0.0,44.2,90.1,13.2,18985071.80949982,3,1
31,71.0,17.0,0.0,46.6,99.0,6.9,15718161.554760143,3,1
33,63.0,17.0,1.1,20.9,56.6,1.6,7575118.528366305,3,0
39,64.0,9.0,1.2,11.7,15.9,1.1,8002037.676280338,3,0
35,58.0,10.0,0.2,10.8,19.7,1.6,10150904.862743052,3,0
29,87.0,18.0,0.0,11.8,28.3,2.8,11066053.735925805,3,0
33,57.0,16.0,0.0,15.7,37.6,6.7,15863376.874996208,3,1
34,59.0,16.0,0.0,19.5,47.2,7.4,16305074.17232919,3,1
36,56.0,16.0,0.0,23.8,57.1,8.2,16908297.803778704,3,1
37,55.0,15.0,0.0,28.3,67.2,8.3,17216120.012492895,3,1
38,52.0,14.0,0.0,4.4,10.5,2.0,10150904.862743052,4,0
40,34.0,14.0,0.0,10.8,21.4,13.8,20531149.782296278,4,1
39,33.0,17.0,0.0,17.1,32.1,17.2,20887186.22559226,4,1
38,35.0,15.0,0.0,23.0,42.7,15.7,20976915.330707245,4,1
34,42.0,17.0,0.1,23.6,52.5,19.0,16454339.236060109,4,1
30,54.0,14.0,3.1,11.0,9.1,1.3,6658227.748932567,4,0
34,63.0,13.0,2.9,7.2,9.8,1.2,6359752.95533571,4,0
37,56.0,11.0,0.0,11.2,20.2,5.2,15790643.822552253,4,1
39,43.0,12.0,0.0,16.5,30.9,9.6,19152391.546540592,4,1
39,39.0,15.0,0.2,15.8,35.4,8.2,17216120.012492895,4,1
40,31.0,15.0,0.0,22.5,46.3,16.6,21338730.39340832,4,1
39,21.0,17.0,0.4,18.4,41.5,15.5,20267129.061899014,4,1
35,34.0,16.0,0.2,16.9,45.1,7.5,16454339.236060109,4,1
37,40.0,13.0,0.0,22.3,55.5,10.8,19320816.55405585,4,1
35,46.0,13.0,0.3,16.9,54.2,3.5,13398887.547327854,4,1
40,41.0,10.0,0.1,22.6,65.1,9.5,19405445.05628834,4,1
42,24.0,9.0,0.0,30.3,76.4,15.7,23025242.67317553,4,1
37,37.0,14.0,0.0,35.9,86.8,16.0,21429911.938941542,4,1
35,66.0,15.0,0.1,32.7,96.8,3.3,12645193.682120735,4,1
36,81.0,15.0,0.0,34.4,107.0,3.8,13270988.498277288,4,1
36,71.0,15.0,0.0,36.9,117.1,5.1,14798450.986675499,4,1
37,53.0,14.0,0.0,41.1,127.5,8.0,17371600.227594804,4,1
36,43.0,16.0,0.0,46.1,137.7,11.5,18736153.955402948,4,1
35,38.0,15.0,0.0,51.3,147.7,12.2,19490351.703947514,4,1
34,40.0,18.0,0.0,56.3,157.5,14.3,19490351.703947514,4,1
33,37.0,16.0,0.0,61.3,167.2,13.1,19575537.107710827,4,1
36,54.0,14.0,0.0,65.9,177.3,10.0,18571576.150937144,4,1
35,56.0,14.0,0.4,37.0,166.0,2.1,10628001.651975144,4,0
35,53.0,17.0,0.5,20.7,149.2,2.7,11177653.867021846,4,1
34,49.0,15.0,0.0,24.8,159.1,8.1,17138773.07001242,4,1
30,59.0,19.0,0.0,27.8,168.2,9.8,17061687.4483426,4,1
29,86.0,16.0,0.0,0.9,8.2,0.1,549665.6997773976,1,0
28,67.0,19.0,0.0,2.9,16.3,2.0,8722387.913764862,1,0
28,75.0,16.0,0.0,4.4,24.3,3.3,12340742.079572989,1,1
30,66.0,15.0,0.2,4.1,26.6,1.5,7872112.486402886,1,0
30,58.0,12.0,4.1,4.0,8.4,1.0,5139047.1874113865,1,0
34,71.0,14.0,6.5,3.3,9.1,1.0,4657103.059230035,1,0
31,62.0,15.0,0.0,5.8,17.7,3.8,13017943.740417955,1,1
30,88.0,14.0,0.0,6.6,26.1,3.0,12522743.953277495,1,1
30,80.0,15.0,0.0,7.9,34.5,3.5,12892789.18453366,1,1
29,74.0,15.0,1.1,4.7,8.2,0.8,3367340.195091833,1,0
30,73.0,14.0,0.0,6.5,16.6,2.1,10628001.651975144,1,0
31,72.0,14.0,0.0,8.3,25.2,3.8,13592469.441499094,1,1
29,49.0,19.0,0.0,11.5,33.4,9.1,16680158.48789192,1,1
28,81.0,15.0,0.0,12.6,41.5,4.3,13853837.559098927,1,1
32,51.0,13.0,0.0,16.0,50.2,6.9,16755946.358243318,1,1
33,26.0,13.0,0.0,21.2,59.2,14.2,21066933.676862977,1,1
34,44.0,12.0,0.0,25.2,63.3,11.2,19832771.972537585,1,1
36,33.0,13.0,0.1,25.8,77.8,9.0,18245680.630664114,1,1
29,41.0,8.0,0.1,24.9,86.0,2.7,13398887.547327854,1,1
34,58.0,13.0,0.2,18.7,88.0,2.1,10790715.081873814,1,0
35,34.0,17.0,0.0,23.6,97.3,13.8,19575537.107710827,1,1
33,64.0,13.0,0.0,26.1,106.3,7.1,16908297.803778704,1,1
35,56.0,14.0,0.0,29.4,115.6,7.5,16984862.556400515,1,1
26,49.0,6.0,2.0,11.9,28.1,0.6,3795806.0953127686,1,0
28,70.0,15.0,0.0,13.8,36.1,2.4,11010568.585452944,1,0
30,65.0,14.0,0.0,16.0,44.5,4.5,14387881.61865395,1,1
28,87.0,15.0,4.4,6.5,8.0,0.1,761324.8228965554,1,0
27,87.0,29.0,0.5,3.5,7.9,0.4,1186735.795299624,1,0
24,54.0,18.0,0.1,4.3,15.2,1.7,10900225.469646193,1,0
24,64.0,15.0,0.2,3.8,16.5,1.2,5524382.094243613,1,0
